drug_id,drug_name,generic_names,trade_names,drug_type
PA166238901,17-alpha-dihydroequilenin sulfate,Unknown,Unknown,Drug
PA166238881,17-alpha-dihydroequilin,Unknown,Unknown,Drug
PA166238883,17-alpha-dihydroequilin sulfate,Unknown,Unknown,Drug
PA166238882,17-alpha-estradiol sulfate,Unknown,Unknown,Drug
PA166238921,17-beta-dihydroequilenin sulfate,Unknown,Unknown,Drug
PA166238884,17-beta-dihydroequilin sulfate,Unknown,Unknown,Drug
PA166238961,17-beta-estradiol sulfate,Unknown,Unknown,Drug
PA166428201,1-hydroxytacrine,"""9-amino-1,2,3,4-tetrahydroacridin-1-ol"", ""velnacrine""",Unknown,"Drug, Metabolite"
PA164712302,2-amino-1-phenylethanol derivatives,Unknown,Unknown,Drug Class
PA134967247,2-methoxyestradiol,Unknown,Unknown,"Drug, Biological Intermediate"
PA131887008,"3,4-methylenedioxymethamphetamine","Ecstasy, MDMA",Unknown,Drug
PA165958321,"3,5-dimethyl-2-(3-pyridyl)thiazolidin-4-one","""( )-cis-3,5-Dimethyl-2-(3-pyridyl)thiazolidin-4-one hydrochloride"", ""130841-70-2"", ""158511-47-8"", ""3,5-dimethyl-2-(3-pyridyl)thiazolidin-4-one"", ""4-Thiazolidinone, 3,5-dimethyl-2-(3-pyridinyl)-, monohydrochloride, cis-(+-)-"", ""AC1L433Y"", ""SM-10661"", ""SM-12502""",Unknown,Drug
PA165858618,3-aminopyridine-2-carboxaldehyde thiosemicarbazone,Unknown,Unknown,Drug
PA451993,3-beta-hydroxy-5-androsten-17-one,"3-beta-hydroxy-5-androsten-17-one, 5-dehydroepiandrosterone, 5-dhea, dha, dhea, prasterone","Fidelin, OVIGYN-D",Drug
PA166123047,3-cyano-7-ethoxycoumarin,Unknown,Unknown,Drug
PA166305281,3-hydroxy darifenacin,"2-[(3S)-1-[2-(3-hydroxy-2,3-dihydro-1-benzofuran-5-yl)ethyl]pyrrolidin-3-yl]-2,2-diphenylacetamide","""UK-148,993"", ""UK-148993""","Drug, Metabolite"
PA164712303,3-oxoandrosten (4) derivatives,Unknown,Unknown,Drug Class
PA166262141,"(3R,5R)-fluvastatin","(E,3R,5R)-7-[3-(4-fluorophenyl)-1-propan-2-ylindol-2-yl]-3,5-dihydroxyhept-6-enoic acid",Unknown,Drug
PA166262142,"(3R,5S)-fluvastatin","""(3R,5S)-7-[3-(4-fluorophenyl)-1-propan-2-yl-2-indolyl]-3,5-dihydroxy-6-heptenoic acid"", ""(E,3R,5S)-7-[3-(4-fluorophenyl)-1-propan-2-ylindol-2-yl]-3,5-dihydroxyhept-6-enoic acid""",Unknown,Drug
PA166122786,"4,6,4'-trimethylangelicin",Unknown,Unknown,Drug
PA166224244,4''-hydroxycannabidiol,"5-(4-hydroxypentyl)-2-[(1R,6R)-3-methyl-6-prop-1-en-2-ylcyclohex-2-en-1-yl]benzene-1,3-diol",Unknown,Drug
PA151958637,4-methylthioamphetamine,Unknown,Unknown,Drug
PA154081778,4-methylumbelliferone,Unknown,Unknown,Drug
PA164712304,5-androstanon (3) derivatives,Unknown,Unknown,Drug Class
PA166131299,5'-deoxy-5-fluorouridine,"5'dFUR, DFUR, doxifluridine",Unknown,"Drug, Metabolite"
PA151958362,"6,7-dihydroxybergamottin",Unknown,Unknown,Drug
PA130230922,6-o-phosphoryl inosine monophosphate,Unknown,Unknown,Drug
PA152530740,"8-cyclopentyl-1,3-dipropylxanthine",8-cyclopentyl-1,Unknown,Drug
PA448004,abacavir,"ABC, abacavir","Epzicom, Ziagen",Drug
PA164754915,abarelix,abarelix,"Plenaxis, Plenaxis",Drug
PA164747080,abatacept,"CTLA4-Ig, CTLA4-IgG4m, CTLA4Ig, CTLA4IgG4m, RG-1046, RG-2077, RG1046, RG2077, abatacept","Orencia, Orencia",Drug
PA448006,abciximab,"7E3 antibody, ReoPro, abciximab, antiGPIIBIIIa, c7E3",ReoPro,Drug
PA166153471,abemaciclib,Unknown,LY2835219,Drug
PA166116241,abexinostat,Unknown,pci-24781,Drug
PA166123407,abiraterone,Unknown,Zytiga,Drug
PA166338841,abivertinib,"""N-[3-[[2-[3-fluoro-4-(4-methylpiperazin-1-yl)anilino]-7H-pyrrolo[2,3-d]pyrimidin-4-yl]oxy]phenyl]prop-2-enamide"", ""avitinib""",Unknown,Drug
PA166272921,abrocitinib,"N-[3-[methyl(7H-pyrrolo[2,3-d]pyrimidin-4-yl)amino]cyclobutyl]propane-1-sulfonamide",PF 04965842,Drug
PA166104276,ABT-751,"E7010, N-[2-(4-hydroxyanilino)-3-pyridinyl]-4-methoxybenzenesulfonamide",Unknown,Drug
PA166198581,acalabrutinib,"4-[8-amino-3-[(2S)-1-but-2-ynoylpyrrolidin-2-yl]imidazo[1,5-a]pyrazin-1-yl]-N-pyridin-2-ylbenzamide",Calquence,Drug
PA10344,acamprosate,"3-(Acetylamino)propanesulphonic acid, 3-Acetamido-1-propanesulfonic acid, N-Acetylhomotaurine, acamprosate",Campral,Drug
PA448010,acarbose,Unknown,"Glucobay, Prandase, Precose",Drug
PA166340542,acebilustat,"4-[[(1S,4S)-5-[[4-[4-(1,3-oxazol-2-yl)phenoxy]phenyl]methyl]-2,5-diazabicyclo[2.2.1]heptan-2-yl]methyl]benzoic acid",Unknown,Drug
PA448011,acebutolol,"Acebutolol HCL, Acebutololo, Acetobutolol, acebutolol hydrochloride, dl-Acebutolol","Monitan, Neptal, Prent, Sectral",Drug
PA166049185,aceclofenac,Unknown,Unknown,Drug
PA164712305,ACE inhibitors and calcium channel blockers,Unknown,Unknown,Drug Class
PA164712306,ACE inhibitors and diuretics,Unknown,Unknown,Drug Class
PA164712307,"Ace Inhibitors, Combinations",Unknown,Unknown,Drug Class
PA164712308,"Ace Inhibitors, Plain",Ace Inhibitor,Unknown,Drug Class
PA166049184,acemetacin,Unknown,Unknown,Drug
PA452632,acenocoumarol,"Acenocoumarin, Acenocoumarolum [inn-latin], Nicoumalone, Nicumalon, Nitrophenylacetylethyl-4-hydroxycoumarine, Nitrovarfarian, Nitrowarfarin","Ascumar, Mini-sintrom, Neositron, Sincoumar, Sinkumar, Sinthrom, Sinthrome, Sintrom, Syncoumar, Syncumar, Syntrom, Zotil",Drug
PA164783999,acepromazine,"10-(3-dimethylaminopropyl)phenothiazin-3-yl methyl ketone, 10-(3-dimethylaminopropyl)phenothiazine-3-ethylone, ACP, Ace, Acetylpromazine","Acezine 2, Atravet",Drug
PA164743727,aceprometazine,"10-(2-(Dimethylamino)propyl)phenothiazin-2-yl methyl ketone, Aceprometazina [inn-spanish], Aceprometazinum [inn-latin], Acepromethazine",Mepronizine,Drug
PA448015,acetaminophen,"APAP, Acetaminofen, Paracetamol, Paracetamolo, Paracetanol","Abenol, Abensanil, Acamol, Accu-Tap, Acephen, Aceta Elixir, Aceta Tablets, Acetagesic, Acetalgin, Actamin, Actimol, Algotropyl, Allay, Alpiny, Alpinyl, Alvedon, Amadil, Aminofen, Anacin, Anacin-3, Anaflon, Anapap, Anelix, Anhiba, Apacet, Apadon, Apamid, Apamide, Atasol, Banesin, Bayer Select, Bickie-mol, Bucet, Butapap, Calpol, Captin, Cetadol, Clixodyne, Co-Gesic, Conacetol, Dafalgan, Dapa, Dapa X-S, Darvocet, Datril, Dimindol, Dirox, Disprol, Dolene AP-65, Doliprane, Dolprone, Drixoral Plus, Dularin, Dymadon, Dypap, Elixodyne, Enelfa, Eneril, Eu-Med, Excedrin, Exdol, Febridol, Febrilix, Febrinol, Febro-Gesic, Febrolin, Fendon, Feverall, Fevor, Finimal, Gelocatil, Genapap, Genebs, Hedex, Homoolan, Hy-Phen, Injectapap, Janupap, Korum, Lestemp, Liquagesic, Liquiprin, Lonarid, Lyteca, Momentum, Multin, NAPA, Napafen, Napap, Naprinol, Nealgyl, Nebs, Neopap, Neotrend, Nobedon, Norco, Oraphen-PD, Ortensan, Pacemo, Painex, Paldesic, Panadol, Panaleve, Panasorb, Panets, Panex, Panofen, Papa-Deine, Paracet, Parapan, Paraspen, Parelan, Parmol, Pasolind, Pasolind N, Pedric, Phenaphen, Phenaphen Caplets, Phendon, Phrenilin, Phrenilin Forte, Prompt, Propacet 100, Proval #3, Pyrinazine, Redutemp, Rivalgyl, Robigesic, Rounox, SK-Apap, Salzone, Sedapap, Servigesic, Snaplets-FR, St. Joseph Fever Reducer, Suppap, Synalgos-Dc-A, Tabalgin, Talacen, Tapanol, Tapar, Tavist Allergy/Sinus/Headache, Temlo, Tempanal, Tempra, Tencon, Tibinide, Tibizide, Tisin, Tisiodrazida, Tizide, Tralgon, Triaprin, Tussapap, Tycolet, Tylenol, Ultracet, Valadol, Valgesic, Valorin, Valorin Extra, Wygesic",Drug
PA166246281,acetaminophen / caffeine / dihydrocodeine,Unknown,Unknown,Drug
PA166184061,acetaminophen / codeine,"(4aR,7S,7aR,12bS)-9-methoxy-3-methyl-2,4,4a,7,7a,13-hexahydro-1H-4,12-methanobenzofuro[3,2-e]isoquinolin-7-ol;N-(4-hydroxyphenyl)acetamide;phosphoric acid",Unknown,Drug
PA165290927,acetaminophen / propoxyphene napsylate,Unknown,Darvocet,Drug
PA166184496,acetaminophen / tramadol,Unknown,Unknown,Drug
PA448016,acetanilide,Unknown,Unknown,Drug
PA448018,acetazolamide,"Acetamidothiadiazolesulfonamide, Acetazolamid, Acetazolamide Sodium, Acetazolamine, Acetazoleamide, Acetozalamide, Carbonic Anhydrase Inhibitor 6063","Acetamox, Acetazolam, Ak-Zol, Apo-Acetazolamide, Atenezol, Cidamex, Dazamide, Defiltran, Dehydratin, Diacarb, Diakarb, Diamox, Diamox Sequels, Didoc, Diluran, Diuramid, Diureticum-Holzinger, Diuriwas, Diutazol, Donmox, Duiramid, Edemox, Eumicton, Fonurit, Glaupax, Glupax, Natrionex, Nephramid, Nephramide, Phonurit, Sk-Acetazolamide, Storzolamide, Vetamox",Drug
PA448021,acetic acid,"acetate, ethanoat, ethanoate, ethanoic acid, glacial acetic acid","Acetasol, Borofair, Volsol",Drug
PA164712309,Acetic acid derivatives and related substances,Unknown,Unknown,Drug Class
PA164777011,acetohexamide,Acetohexamid,"Cyclamide, Dimelin, Dimelor, Dymelor, Gamadiabet, Hypoglicil, Metaglucina, Minoral, Ordimel, Tsiklamid",Drug
PA164749213,acetohydroxamic acid,"""AHA"", ""Acethydroxamsaure"", ""Acetic acid, oxime"", ""Acetohydroxamate"", ""Acetohydroximic acid"", ""Acetyl hydroxyamino"", ""Acetylhydroxamic acid"", ""Cetohyroxamic acid"", ""Methylhydroxamic acid"", ""N-Hydroxyacetamide""",Lithostat,Drug
PA164781360,acetophenazine,Unknown,Tindal,Drug
PA448031,acetylcholine,acetylcholine chloride,Unknown,Drug
PA448033,acetylcysteine,"N-acetylcysteine, NAC","ACC, Acetadote, Fluimucil, Lysox, Mucolysin, Mucomyst, Parvolex",Drug
PA164746246,acetyldigitoxin,"3'''-o-acetyldigitoxin, acetyldiginatin, acetylgitoxin, alpha-acetyldigitoxin, alpha-monoacetyldigitoxin, desglucolanatoside a","Acigoxin, Acylanid, Crystodigin",Drug
PA164712311,Acidifiers,Unknown,Unknown,Drug Class
PA164712310,Acid preparations,Unknown,Unknown,Drug Class
PA448039,acitretin,Unknown,"Acetretin, Neotigason, Soriatane",Drug
PA166360341,acoramidis,"3-[3-(3,5-dimethyl-1H-pyrazol-4-yl)propoxy]-4-fluorobenzoic acid",Unknown,Drug
PA164712312,Acridine derivatives,Unknown,Unknown,Drug Class
PA166345481,act-1004-1239,"N-[(3S,4S)-1-(cyclopropylmethyl)-3-[(1-pyrimidin-2-ylcyclopropyl)carbamoyl]piperidin-4-yl]-5-(2,4-difluorophenyl)-1,2-oxazole-3-carboxamide",Unknown,Drug
PA164712313,Acth,Unknown,Unknown,Drug Class
PA164712314,Actinomycines,Unknown,Unknown,Drug Class
PA448045,acyclovir,"9-Hyroxyethoxymethylguanine, AC2, Aciclovier, Aciclovir Sodium, Acycloguanosine, Acyclovir, Acyclovir Sodium, Wellcome-248u, aciclovir","Alti-Acyclovir, Avirax, Vipral, Virorax, Zovir, Zovirax, Zovirax Injection (Zovirax sodium), Zovirax topical",Drug
PA166246421,adagrasib,"""2-[(2S)-4-[7-(8-chloronaphthalen-1-yl)-2-[[(2S)-1-methylpyrrolidin-2-yl]methoxy]-6,8-dihydro-5H-pyrido[3,4-d]pyrimidin-4-yl]-1-(2-fluoroprop-2-enoyl)piperazin-2-yl]acetonitrile"", ""mrtx849""",Unknown,Drug
PA10004,adalimumab,Ig gamma-1 chain C region,"Humira, Humira, Humira Pen",Drug
PA164712315,Adamantane derivatives,Unknown,Unknown,Drug Class
PA448047,adapalene,"Adapaleno [INN-Spanish], Adapalenum [INN-Latin]","Adaferin, Differin",Drug
PA166306541,adavosertib,"""1-[6-(2-hydroxypropan-2-yl)pyridin-2-yl]-6-[4-(4-methylpiperazin-1-yl)anilino]-2-prop-2-enylpyrazolo[3,4-d]pyrimidin-3-one"", ""mk-1775""",Unknown,Drug
PA10005,adefovir dipivoxil,"ADV, Adefovir, Adefovir pivoxil, Adefovirdipivoxl, GS-840, PMEA, adefovir dipivoxil, bis-POM PMEA","Hepsera, Preveon",Prodrug
PA448048,adenine,"1H-Purin-6-amine, 6-Aminopurine, Adenin, Adeninimine, Vitamin B4","Leuco-4, Pedatisectine B",Drug
PA448049,adenosine,"2'-Deoxyadenosine, Adenine Deoxy Nucleoside, Adenine Deoxyribonucleoside, Adenine Deoxyribose, Adenine Nucleoside, Adenine Riboside, Adenyldeoxyriboside, Deoxyadenosine, Desoxyadenosine, MEDR-640, USAF CB-10, adenosine","Adenocard, Adenocor, Adenoscan, Adenosin, Adensoine, Boniton, Myocol, Nucleocardyl, Pallacor, Sandesin","Drug, Biological Intermediate"
PA166178281,adenosine diphosphate,Unknown,Unknown,"Drug, Biological Intermediate"
PA164744376,adenosine monophosphate,"5'-AMP, 5'-Adenosine monophosphate, 5'-Adenylic acid, AMP, Adenosine 5'-(dihydrogen phosphate), Adenosine 5'-monophosphate, Adenosine 5'-phosphate, Adenosine 5'-phosphoric acid, Adenosine phosphate, Adenosine-5'-Monophosphate, Adenosine-5'-monophosphoric acid, Adenosine-5-monophosphoric acid, Adenylate, Adenylic acid, Phosphentaside","Adenovite, Cardiomone, Lycedan, My-B-Den, Phosaden, Phosphaden","Drug, Biological Intermediate"
PA164743471,adenosine triphosphate,"""5'-ATP"", ""ATP"", ""Adenosine 5'-triphosphate"", ""Adenosine 5'-triphosphoric acid"", ""Adenosine, 5'-(tetrahydrogen triphosphate)"", ""Adenosine-5'-triphosphate"", ""Adenylpyrophosphoric acid"", ""Triphosphoric acid adenosine ester""","Adephos, Adetol, Adynol, Atipi, Atriphos, Cardenosine, Fosfobion, Glucobasin, Myotriphos, Phosphobion, Striadyne, Triadenyl, Triphosphaden","Drug, Biological Intermediate"
PA164783813,adinazolam,Adinazolamum [INN-Latin],Deracyn,Drug
PA164712316,Adrenergic and dopaminergic agents,Unknown,Unknown,Drug Class
PA164712318,Adrenergics and other drugs for obstructive airway diseases,Unknown,Unknown,Drug Class
PA164712317,Adrenergics For Systemic Use,Unknown,Unknown,Drug Class
PA10405,"adrenergics, inhalants",Unknown,Unknown,Drug Class
PA166350685,aducanumab,aducanumab-avwa,Unknown,Drug
PA165981154,afatinib,BIBW 2992,"Giotrif, Tomtovok, Tovok",Drug
PA165981139,afatinib dimaleate,"afatinib maleate (jan), d09733",Unknown,Drug
PA452609,aflatoxin b1,Unknown,Unknown,Drug
PA166118342,aflibercept,Unknown,Unknown,Drug
PA164746527,agalsidase beta,"Agalsidase alfa, Alpha-D- galactoside galactohydrolase, Alpha-D-galactosidase A, Alpha-galactosidase A precursor, Melibiase, agalsidase beta","Fabrazyme, Fabrazyme, Replagal",Drug
PA164712320,Agents Acting On The Renin-angiotensin System,RAAS acting drugs,Unknown,Drug Class
PA164712321,Agents Against Amoebiasis And Other Protozoal Diseases,Unknown,Unknown,Drug Class
PA164712322,Agents Against Leishmaniasis And Trypanosomiasis,Unknown,Unknown,Drug Class
PA164712323,Agents For Treatment Of Hemorrhoids And,Unknown,Unknown,Drug Class
PA165958363,agomelatine,"s-20098, s20098","Melitor, Valdoxan",Drug
PA164776839,ajmaline,Ajmalin,Unknown,Drug
PA164746058,albendazole,Unknown,"Albenza, Eskazole, Valbazen, Zentel",Drug
PA166285061,albiglutide,"""(4S)-5-[[2-[[(2S,3S)-1-[[(2S)-1-[[(2S,3S)-1-[[(2S)-1-[[(2S)-1-[[(2S)-1-[[(2S)-1-[[(2S)-1-[[(2S)-1-[[(2S)-1-[[(2S)-1-[[2-[[(2S)-5-amino-1-[[(2R)-1-[[(2R)-1-[[(2S)-6-amino-1-[[(2S)-1-[[(2S)-1-[[(2S,3R)-1-[[(2R)-1-[[(2S)-1-[[(2S)-1-[[(2S)-1-[[(2S)-6-amino-1-[[2-[[(2S)-1-amino-5-carbamimidamido-1-oxopentan-2-yl]amino]-2-oxoethyl]amino]-1-oxohexan-2-yl]amino]-3-methyl-1-oxobutan-2-yl]amino]-4-methyl-1-oxopentan-2-yl]amino]-3-(1H-indol-3-yl)-1-oxopropan-2-yl]amino]-1-oxopropan-2-yl]amino]-3-methyl-1-oxopentan-2-yl]amino]-1-oxo-3-phenylpropan-2-yl]amino]-4-carboxy-1-oxobutan-2-yl]amino]-1-oxohexan-2-yl]amino]-1-oxopropan-2-yl]amino]-1-oxopropan-2-yl]amino]-1,5-dioxopentan-2-yl]amino]-2-oxoethyl]amino]-4-carboxy-1-oxobutan-2-yl]amino]-4-methyl-1-oxopentan-2-yl]amino]-3-(4-hydroxyphenyl)-1-oxopropan-2-yl]amino]-3-hydroxy-1-oxopropan-2-yl]amino]-3-hydroxy-1-oxopropan-2-yl]amino]-3-methyl-1-oxobutan-2-yl]amino]-3-carboxy-1-oxopropan-2-yl]amino]-3-hydroxy-1-oxopropan-2-yl]amino]-3-hydroxy-1-oxobutan-2-yl]amino]-1-oxo-3-phenylpropan-2-yl]amino]-3-hydroxy-1-oxobutan-2-yl]amino]-2-oxoethyl]amino]-4-[[2-[[(2S)-2-amino-3-(1H-imidazol-5-yl)propanoyl]amino]acetyl]amino]-5-oxopentanoic acid"", ""glucagon-like peptide-1 (GLP-1) receptor agonist""",Unknown,Drug
PA166411921,albuvirtide,labuvirtide,Unknown,Drug
PA165958399,alcaftadine,Unknown,Lastacaft,Drug
PA164747650,alclometasone,Alclometasone dipropionate,Aclovate,Drug
PA164712324,Aldehydes and derivatives,Unknown,Unknown,Drug Class
PA448081,aldesleukin,"IL-2, Interleukin-2 precursor, T-cell growth factor, TCGF, aldesleukin","Proleukin, Proleukin",Drug
PA164712325,Aldose reductase inhibitors,Unknown,Unknown,Drug Class
PA164712326,Aldosterone antagonists,Unknown,Unknown,Drug Class
PA166160050,alectinib,Unknown,Unknown,Drug
PA164748040,alefacept,"ASP0485, Amevive, alefacept",Amevive,Drug
PA164783958,alemtuzumab,alemtuzumab,"Campath, Campath, MabCampath",Drug
PA448082,alendronate,"Acide Alendronique [INN-French], Acido Alendronico [INN-Spanish], Acidum Alendronicum [INN-Latin], Alendronate Sodium, Alendronic acid","Adronat, Alendros, Arendal, Fosamax, Fosamax Plus D, Onclast",Drug
PA164746469,alfacalcidol,"1-hydroxycholecalciferol, 1alpha-hydroxycholecalciferol, 1alpha-hydroxyvitamin D3","Alsiodol, One Alpha",Drug
PA448084,alfentanil,"Alfentanilum [INN-Latin], Alfentanyl",Alfenta,Drug
PA164774795,alfuzosin,"Alfusosine, alfuzosin","Uroxatral, Xatral",Drug
PA164748093,alglucerase,"Acid beta-glucosidase, Beta-glucocerebrosidase, D-glucosyl-N-acylsphingosine glucohydrolase, Glucosylceramidase precursor","Ceredase, Ceredase",Drug
PA164754753,alglucosidase alfa,Unknown,Myozyme,Drug
PA164712327,Alimentary Tract And Metabolism,Unknown,Unknown,Drug Class
PA166159961,alirocumab,Unknown,Praluent,Drug
PA166165015,alisertib,Unknown,MLN8237,Drug
PA143487910,aliskiren,"Rasilez, SPP 100, aliskiren",Tekturna,Drug
PA164746900,alitretinoin,"9-cis-retinoic acid, ALRT-1057, BAL4079, Retinoic Acid, alitretinoin","Panretin, Panretin Gel, Panretyn, Panrexin, Renova, Retin-A, Retin-A Micro",Drug
PA164744894,alizapride,"Alizaprida [inn-spanish], Alizapridum [inn-latin]","Limican, Liticum",Drug
PA164712328,"Alkaloids, excl. rauwolfia",Unknown,Unknown,Drug Class
PA164712329,"Alkaloids, excl. rauwolfia, in combination with diuretics",Unknown,Unknown,Drug Class
PA164712331,Alkylating Agents,Unknown,Unknown,Drug Class
PA164712330,Alkyl sulfonates,Unknown,Unknown,Drug Class
PA164712336,Allergen extracts,Unknown,Unknown,Drug Class
PA164712337,Allergens,Allergens,Unknown,Drug Class
PA142320763,allopregnanolone,Unknown,Brexanolone,Drug
PA448320,allopurinol,"Allopurinol Sodium, Allopurinolum [INN-Latin], Alopurinol [INN-Spanish]","7HP, Adenock, Ailural, Allo-Puren, Allohexal, Allopur, Allozym, Allural, Aloprim, Aloral, Alositol, Aluline, Anoprolin, Anzief, Apo-Allopurinol, Apulonga, Apurin, Apurol, Atisuril, Bleminol, Bloxanth, Caplenal, Cellidrin, Cosuric, Dabrosin, Dabroson, Dura Al, Embarin, Epidropal, Epuric, Foligan, Geapur, Gichtex, Gotax, HPP, Hamarin, Hexanuret, Ketanrift, Ketobun-A, Ledopur, Lopurin, Lysuron, Milurit, Miniplanor, Monarch, Nektrohan, Progout, Purinol, Remid, Riball, Sigapurol, Suspendol, Takanarumin, Urbol, Uricemil, Uriprim, Uripurinol, Uritas, Urobenyl, Urolit, Urosin, Urtias, Urtias 100, Xanturat, Zyloprim, Zyloric",Drug
PA164712332,All Other Non-therapeutic Products,All Other Non-therapeutic Products,Unknown,Drug Class
PA164712334,All Other Therapeutic Products,All Other Therapeutic Products,Unknown,Drug Class
PA164745307,allylestrenol,Unknown,"Gestanin, Gestanol, Gestanon, Gestormone, Orageston, Organon, Perselin, Turinal",Drug
PA164750492,almitrine,"Almitrine bismesylate, Almitrine dimesylate, Almitrine mesylate","Doxil, Duxil, Vectarion",Drug
PA133888888,almokalant,Unknown,Unknown,Drug
PA10246,almotriptan,almotriptan,"Almogran, Axert",Drug
PA166368301,alogliptin,"""2-[[6-[(3R)-3-aminopiperidin-1-yl]-3-methyl-2,4-dioxopyrimidin-1-yl]methyl]benzonitrile"", ""Nesina""",Unknown,Drug
PA164745502,alosetron,Alosetron HCl,"GR68755, Lotronex",Drug
PA452626,alox5-pathway modifiers,Unknown,Unknown,Drug Class
PA166184523,alpelisib,"""(2S)-1-N-[4-methyl-5-[2-(1,1,1-trifluoro-2-methylpropan-2-yl)pyridin-4-yl]-1,3-thiazol-2-yl]pyrrolidine-1,2-dicarboxamide"", ""(2S)-N1-[4-methyl-5-[2-(1,1,1-trifluoro-2-methylpropan-2-yl)-4-pyridinyl]-2-thiazolyl]pyrrolidine-1,2-dicarboxamide""",Piqray,Drug
PA10308,alpha-1-proteinase inhibitor,"Alpha 1-antitrypsin, Alpha-1 protease inhibitor, Alpha-1-antiproteinase, Alpha-1-antitrypsin precursor","Aralast, Prolastin",Drug
PA164712344,Alpha-adrenoreceptor antagonists,Unknown,Unknown,Drug Class
PA164712346,Alpha-adrenoreceptor antagonists and diuretics,Unknown,Unknown,Drug Class
PA164712343,Alpha- and beta-adrenoreceptor agonists,Unknown,Unknown,Drug Class
PA164712339,Alpha and beta blocking agents,Unknown,Unknown,Drug Class
PA164712340,Alpha and beta blocking agents and other diuretics,Unknown,Unknown,Drug Class
PA164712341,Alpha and beta blocking agents and thiazides,Unknown,Unknown,Drug Class
PA164712342,Alpha glucosidase inhibitors,Unknown,Unknown,Drug Class
PA449384,alpha-linolenic acid,"""(9Z,12Z,15Z)-Octadecatrienoic acid"", ""9,12,15-Octadecatrienoic acid"", ""ALA"", ""alpha-Linolenate"", ""linolenate""",Unknown,Drug
PA147358765,alpha-methyl-para-tyrosine,Metyrosine,Unknown,Drug
PA448333,alprazolam,"TUS-1, alprazolam","Alplax, Alpronax, Alviz, Bestrol, Cassadan, Constan, D 65MT, Esparon, Frontal, Intensol, Niravam, Restyl, Solanax, Tafil, Tranax, Trankimazin, Tranquinal, Xanax, Xanax XR, Xanor",Drug
PA164750541,alprenolol,"Alfeprol [Russian], Alpheprol, Alprenololum [INN-Latin]","Apllobal, Aptine, Aptol Duriles, Gubernal, Regletin, Yobir",Drug
PA448334,alprostadil,alprostadil,"Alista, Alprostadil Prostoglandin E1, Alprox-TD, Befar, Caverject, Edex, Femprox, Muse, PGE1, Prink, Prostaglandin E1, Prostin VR, Prostin VR Pediatric, Topiglan, l-Prostaglandin E1",Drug
PA164746411,alseroxylon,Unknown,"Rautensin, Rauwiloid",Drug
PA164776730,alteplase,"Tissue-type plasminogen activator precursor, t-PA, t-plasminogen activator, tPA",Activase,Drug
PA164743136,altretamine,"Altretaminum [INN-Latin], HEXAMETHYLMELAMINE, HMM, HTM, HXM","Hemel, Hexalen, Hexastat",Drug
PA164760864,aluminium,Unknown,Unknown,Drug
PA164712347,Aluminium agents,Unknown,Unknown,Drug Class
PA164712348,Aluminium compounds,Unknown,Unknown,Drug Class
PA164764505,alverine,"""Alverina [inn-spanish]"", ""Alverine citrate"", ""Alverinum [inn-latin]"", ""Bis(gamma-phenylpropyl)ethylamine"", ""Di(phenylpropyl)ethylamine"", ""N,N-Bis(3-phenylpropyl)ethylamine"", ""N-Ethyl-3,3'-diphenyldipropylamine"", ""N-Ethyl-3-phenyl-N-(3-phenylpropyl)-1-propanamine"", ""N-Ethyl-N-(3-phenylpropyl)benzenepropanamine"", ""N-Ethyl-bis(3-phenylpropyl)amin"", ""Phenopropamine"", ""Phenpropamine""","Antispasmin, Dipropylin, Dipropyline, Gamatran citrate, Profenil, Sestron, Spacolin, Spasmaverine",Drug
PA165291491,alvespimycin,17-(dimethylaminoethylamino)-17-demethoxygeldanamycin,Unknown,Drug
PA164754864,alvimopan,"ADL 8-2698, alvimopan",Entereg,Drug
PA448360,amantadine,"1-aminoadamantane, Adamantamine, Adamantanamine, Adamantylamine, Amantadine Base, Amantadine HCL, Amantidine, Aminoadamantane, amantadine hydrochloride","Endantadine, Gen-Amantadine, Mantadine, Pk-Merz, Symadine, Symmetrel",Drug
PA164764601,ambenonium,Ambenonum,Mytelase,Drug
PA165860521,ambrisentan,Unknown,Unknown,Drug
PA164746074,amcinonide,Unknown,Cyclocort,Drug
PA164754807,amdinocillin,"Amdinocillin mecillinam, mecillinam, penicillin hx",Coactin,Drug
PA166049186,amfenac,Unknown,Unknown,Drug
PA164712349,Amides,Unknown,Unknown,Drug Class
PA166185150,amifampridine,Unknown,Unknown,Drug
PA166182002,amifampridine phosphate,Unknown,Unknown,Drug
PA448365,amifostine,"Amifostine Ethiofos, Aminopropylaminoethyl Thiophosphate, Apaetp, Ethiofos, Gammaphos, SAPEP, WR-1065, amifostine",Ethyol,Drug
PA164744372,amikacin,"ANTIBIOTIC BB-K8, Amikacin Base, Amikacin Dihydrate, Amikacin Sulfate, Amikacina [INN-Spanish], Amikacine [INN-French], Amikacinum [INN-Latin], BB-K8, amikacin","Amicacin, Amiglyde-V, Amikavet, Amikin, Briclin",Drug
PA448368,amiloride,"AMR, Amilorida [INN-Spanish], Amiloride HCL, Amiloride hydrochloride, Amiloride hydrochloride hydrate, Amiloridum [INN-Latin], Amyloride","Amipramidin, Amipramizid, Amipramizide, Amiprazidine, Guanamprazin, Guanamprazine, Midamor",Drug
PA448372,amino acids,Unknown,Unknown,"Drug, Biological Intermediate"
PA164712351,Amino acids and derivatives,Unknown,Unknown,Drug Class
